"DepthRowID","SampleRowID","DepthNum","Depth","DepthComments"
"{00237E15-2B36-4557-B355-F7CFA3E5D89F}","{D3DB0F5F-4827-4BBC-AF70-A1E8543D467F}",1,6.10,
"{0030458D-4BA2-40E6-B3EC-EC3A70D5A3F9}","{B6A1C02D-4DE8-4A16-87EC-71D5D6B234DB}",4,2.00,
"{0034FEF5-8823-4519-91F6-19197B810653}","{700C7E74-DC44-4D7A-86E3-09FA9EA1B265}",2,5.90,
"{00881960-0D9A-450F-BF96-9565C088C915}","{68BE1EEB-5CA0-451D-9778-265B3073D760}",2,3.40,
"{00D919E7-1B7B-4872-9401-E2B636135A73}","{6F275D25-1B9D-40CE-8B47-D0FA8A0F9567}",1,5.90,
"{01300E2C-570D-4F32-96EC-2A86078FA1A3}","{951C4BF4-12A5-43EF-8CB1-9BC2A9FC665E}",2,12.20,
"{014D90AA-B3DD-4855-A368-249B12E8A282}","{D2656613-DC10-4229-9930-4AB5ACCE83AF}",4,5.40,
"{014FAFC1-E41A-4EAD-AE05-9E97BF722C25}","{339C8A63-BFA8-449D-96F6-AECDBF75DF0D}",5,2.00,
"{0196428A-B000-4AEE-A9F9-F58B9DAB036E}","{AA9BA2C6-7599-41AE-91C3-6A75AFF9A71C}",3,3.20,
"{01D64A1D-07E4-4157-971C-8064DAB5431A}","{C9BBC555-4998-4723-B3B6-C7732CD13679}",3,7.60,
"{01E80274-AB0D-45D5-8200-C96F6D035EAD}","{50E6DB5B-B13E-405F-B9D3-1905BC6C72DF}",4,7.80,
"{0218BC67-F4BE-44AB-B352-5FBCFBB60E6A}","{F30669B7-F104-4C91-8A62-87F13C278DDF}",1,1.70,
"{021E7E30-723D-4955-A3F5-FFCE7FE6FF74}","{DB5445CB-168D-45F8-B142-52765809313C}",4,2.00,
"{0274E083-FD7A-4E11-8341-0B5EBDC708FC}","{ECB9A7AF-1CAE-4F01-8CB2-B19187CE5DC9}",4,4.60,
"{02A4022E-F5B3-4B65-8931-F03AA2DD0110}","{C4FCA6D8-E103-4D41-8277-B4F2E42366A9}",1,3.60,
"{02C883E3-23B5-491B-BE50-160E36AE9C81}","{F6957E6D-0A24-4802-873C-24D6D5F93016}",4,4.90,
"{02CABB63-7D31-44D5-BB81-A88C4349C888}","{645C6362-FB36-4ABE-ADB7-993FF0FF04FD}",2,3.00,
"{02D2584C-0675-4CAA-AA6B-901B7918ECB6}","{B1D64A43-4623-4346-8763-7B883F7104AD}",3,5.30,
"{02DF4DE3-044D-4876-AD68-52CE61C3D11A}","{F102D814-B6C7-4F94-A707-641E10257CB6}",4,2.00,
"{0316DB36-DDE0-402A-9AC0-F8E4ABCF92E6}","{591CC993-390B-49A0-AC0F-817F2B1EF402}",5,2.20,
"{03577553-C832-4F41-90C9-FEE31BA881B2}","{C81D3A4A-EDF6-49A3-8C1D-BF530CCD7A9A}",5,2.80,
"{037A9C7D-209C-49A0-8763-3601BF3187F9}","{E17E8EF1-12AC-4CF9-B65D-2B898EA19588}",3,4.10,
"{040BD1D8-68A2-45CE-A630-F24D0A281ECD}","{F5B84336-872E-473E-9D43-6D0926051FC0}",3,2.30,
"{0420B476-9E04-4BDD-8F47-9EBD4A2D4CD7}","{C07B5481-A5EC-45EB-993A-42BF569339E2}",1,2.80,
"{04455B84-2947-43DE-8194-F713F5BCFC6F}","{9032CA72-1264-4679-BA6B-7E95237C2B50}",5,2.70,
"{0458A7CC-80C5-4057-B701-BB6BAED10E8C}","{94224555-7B42-4005-80E8-34982763CD36}",5,2.90,
"{04E9B233-CBD4-4EF7-A98A-99544E90F6DE}","{10C5E64B-2FA4-4BC0-B7F0-F98D682982E4}",3,2.10,
"{04F35EAE-5387-4573-B587-3C8A1B353459}","{9065E9C3-EB5B-469D-93B3-170E1BE49F9E}",5,7.70,
"{04F51FD0-E7B9-4F04-8004-D9D20B5DB591}","{52DBFD15-1EC5-417D-A878-997F6BA05E45}",1,2.60,
"{0519CE86-34A1-4717-9747-13B3E61ADDCE}","{27F51DDD-32C2-4404-81F8-3D7C02DFD76E}",2,1.40,
"{0536FD2C-A053-45D2-9B55-054BF9F0B587}","{2A944636-FB4A-468D-BC0D-3C5ABC106B9D}",1,3.10,
"{0570FCFA-1BBF-447B-A44E-45806052AD9F}","{EE447167-E5B2-4E3F-B50F-2D564F3CC918}",5,4.10,
"{059019BA-4AE9-4C45-94D4-C553752D9A4A}","{DC44C847-2683-4B27-A8C6-6167EAE83B04}",4,2.10,
"{05A2C363-795D-44DE-BEB8-345D45777E8A}","{0A275A91-8FEA-41D5-9901-42F650EC1675}",5,1.00,
"{05BD6B3B-D0D9-409D-8815-CAB952C7FB7E}","{13DC7869-ED8C-45BC-88E6-4908AE63BB88}",4,3.90,
"{05DDF4E7-BBF7-4483-87B0-7A45517B1140}","{C79D079F-89F8-40BE-9FD9-18C10C317BD8}",5,5.30,
"{05F5CE16-07D3-4C03-9F67-B0452223C438}","{E6996166-0D04-4AA1-84DC-FA53B553BA60}",1,1.50,
"{06266FDA-114F-4A2C-ACF4-C64FFCE36C82}","{0BCD00FD-741D-450C-82E5-0FE5A79BEAE2}",5,3.90,
"{06E9AF2C-6D10-440B-B3E6-444212AB2596}","{95AAAC30-44AB-4E33-8AC8-BF1D7BC5BBD3}",2,2.60,
"{0709FCCA-492E-4E27-9B99-3637AB403EF1}","{F67788F6-9600-4536-BA7B-06A4170D380F}",5,1.30,
