"SledRowID","SampleRowID","StartMeter","EndMeter","TotalMeter","SledComments"
"{01725948-5D69-11D4-B974-006008C01BCF}","{01724989-5D69-11D4-B974-006008C01BCF}",878367,890823,12456,
"{01725949-5D69-11D4-B974-006008C01BCF}","{0172498A-5D69-11D4-B974-006008C01BCF}",890823,903443,12620,
"{0172594A-5D69-11D4-B974-006008C01BCF}","{0172498B-5D69-11D4-B974-006008C01BCF}",854569,866305,11736,
"{0172594B-5D69-11D4-B974-006008C01BCF}","{0172498C-5D69-11D4-B974-006008C01BCF}",866305,878367,12062,
"{0172594C-5D69-11D4-B974-006008C01BCF}","{0172498D-5D69-11D4-B974-006008C01BCF}",914264,924212,9948,
"{0172594D-5D69-11D4-B974-006008C01BCF}","{0172498E-5D69-11D4-B974-006008C01BCF}",924212,933539,9327,
"{0172594E-5D69-11D4-B974-006008C01BCF}","{0172498F-5D69-11D4-B974-006008C01BCF}",107735,118472,10737,
"{0172594F-5D69-11D4-B974-006008C01BCF}","{01724990-5D69-11D4-B974-006008C01BCF}",95890,107735,11845,
"{01725950-5D69-11D4-B974-006008C01BCF}","{01724991-5D69-11D4-B974-006008C01BCF}",82926,95890,12964,
"{01725951-5D69-11D4-B974-006008C01BCF}","{01724992-5D69-11D4-B974-006008C01BCF}",933827,943563,9736,
"{01725952-5D69-11D4-B974-006008C01BCF}","{01724993-5D69-11D4-B974-006008C01BCF}",943563,955655,12092,
"{01725953-5D69-11D4-B974-006008C01BCF}","{01724994-5D69-11D4-B974-006008C01BCF}",955655,968772,13117,
"{01725954-5D69-11D4-B974-006008C01BCF}","{01724995-5D69-11D4-B974-006008C01BCF}",994837,1009083,14246,
"{01725955-5D69-11D4-B974-006008C01BCF}","{01724996-5D69-11D4-B974-006008C01BCF}",981325,994837,13512,
"{01725956-5D69-11D4-B974-006008C01BCF}","{01724997-5D69-11D4-B974-006008C01BCF}",968780,981325,12545,
"{01725957-5D69-11D4-B974-006008C01BCF}","{01724998-5D69-11D4-B974-006008C01BCF}",9083,21894,12811,
"{01725958-5D69-11D4-B974-006008C01BCF}","{01724999-5D69-11D4-B974-006008C01BCF}",21894,33883,11989,
"{01725959-5D69-11D4-B974-006008C01BCF}","{0172499A-5D69-11D4-B974-006008C01BCF}",33883,45929,12046,
"{0172595A-5D69-11D4-B974-006008C01BCF}","{0172499B-5D69-11D4-B974-006008C01BCF}",45929,58499,12570,
"{0172595B-5D69-11D4-B974-006008C01BCF}","{0172499C-5D69-11D4-B974-006008C01BCF}",58499,70805,12306,
"{0172595C-5D69-11D4-B974-006008C01BCF}","{0172499D-5D69-11D4-B974-006008C01BCF}",70805,82926,12121,
"{0172595D-5D69-11D4-B974-006008C01BCF}","{0172499E-5D69-11D4-B974-006008C01BCF}",286371,298421,12050,
"{0172595E-5D69-11D4-B974-006008C01BCF}","{0172499F-5D69-11D4-B974-006008C01BCF}",273575,286371,12796,
"{0172595F-5D69-11D4-B974-006008C01BCF}","{017249A0-5D69-11D4-B974-006008C01BCF}",260689,273575,12886,
"{01725960-5D69-11D4-B974-006008C01BCF}","{017249A1-5D69-11D4-B974-006008C01BCF}",116921,128780,11859,
"{01725961-5D69-11D4-B974-006008C01BCF}","{017249A2-5D69-11D4-B974-006008C01BCF}",128780,141366,12586,
"{01725962-5D69-11D4-B974-006008C01BCF}","{017249A3-5D69-11D4-B974-006008C01BCF}",141366,153761,12395,
"{01725963-5D69-11D4-B974-006008C01BCF}","{017249A4-5D69-11D4-B974-006008C01BCF}",177272,189180,11908,
"{01725964-5D69-11D4-B974-006008C01BCF}","{017249A5-5D69-11D4-B974-006008C01BCF}",165717,177272,11555,
